a1,a2,a3,a4,a5,a6,a7,class
_,_,_,The,cafeteria,remains,closed,DT
_,_,The,cafeteria,remains,closed,PERIOD,NN
_,The,cafeteria,remains,closed,PERIOD,_,VBZ
The,cafeteria,remains,closed,PERIOD,_,_,JJ
cafeteria,remains,closed,PERIOD,_,_,_,PERIOD
_,_,_,Some,analysts,argued,that,DT
_,_,Some,analysts,argued,that,there,NNS
_,Some,analysts,argued,that,there,wo,VBD
Some,analysts,argued,that,there,wo,nSQt,IN
analysts,argued,that,there,wo,nSQt,be,EX
argued,that,there,wo,nSQt,be,a,MD
that,there,wo,nSQt,be,a,flurry,RB
there,wo,nSQt,be,a,flurry,of,VB
wo,nSQt,be,a,flurry,of,takeovers,DT
nSQt,be,a,flurry,of,takeovers,because,NN
be,a,flurry,of,takeovers,because,the,IN
a,flurry,of,takeovers,because,the,industry,NNS
flurry,of,takeovers,because,the,industry,SQs,IN
of,takeovers,because,the,industry,SQs,continuing,DT
takeovers,because,the,industry,SQs,continuing,capacity-expansion,NN
because,the,industry,SQs,continuing,capacity-expansion,program,POS
the,industry,SQs,continuing,capacity-expansion,program,is,JJ
industry,SQs,continuing,capacity-expansion,program,is,eating,JJ
SQs,continuing,capacity-expansion,program,is,eating,up,NN
continuing,capacity-expansion,program,is,eating,up,available,VBZ
capacity-expansion,program,is,eating,up,available,cash,VBG
program,is,eating,up,available,cash,PERIOD,RP
is,eating,up,available,cash,PERIOD,_,JJ
eating,up,available,cash,PERIOD,_,_,NN
up,available,cash,PERIOD,_,_,_,PERIOD
_,_,_,A,number,of,developments,DT
_,_,A,number,of,developments,were,NN
_,A,number,of,developments,were,negatively,IN
A,number,of,developments,were,negatively,interpreted,NNS
number,of,developments,were,negatively,interpreted,by,VBD
of,developments,were,negatively,interpreted,by,traders,RB
developments,were,negatively,interpreted,by,traders,PERIOD,VBN
were,negatively,interpreted,by,traders,PERIOD,_,IN
negatively,interpreted,by,traders,PERIOD,_,_,NNS
interpreted,by,traders,PERIOD,_,_,_,PERIOD
_,_,_,The,place,smelt,of,DT
_,_,The,place,smelt,of,some,NN
_,The,place,smelt,of,some,kind,VBN
The,place,smelt,of,some,kind,of,IN
place,smelt,of,some,kind,of,hair,DT
smelt,of,some,kind,of,hair,lotion,NN
of,some,kind,of,hair,lotion,these,IN
some,kind,of,hair,lotion,these,pimplike,NN
kind,of,hair,lotion,these,pimplike,characters,NN
of,hair,lotion,these,pimplike,characters,use,DT
hair,lotion,these,pimplike,characters,use,PERIOD,JJ
lotion,these,pimplike,characters,use,PERIOD,_,NNS
these,pimplike,characters,use,PERIOD,_,_,VBP
pimplike,characters,use,PERIOD,_,_,_,PERIOD
_,_,_,MrPERIOD,OSQBrien,will,elaborate,NNP
_,_,MrPERIOD,OSQBrien,will,elaborate,on,NNP
_,MrPERIOD,OSQBrien,will,elaborate,on,the,MD
MrPERIOD,OSQBrien,will,elaborate,on,the,SIA,VB
OSQBrien,will,elaborate,on,the,SIA,SQs,IN
will,elaborate,on,the,SIA,SQs,position,DT
elaborate,on,the,SIA,SQs,position,in,NNP
on,the,SIA,SQs,position,in,testimony,POS
